From,To
Tabzz (Erik van Helvert),Mithy (Alfonso Aguirre Rodríguez)
Snoy (Elijah Joshua Guerrero),Kaigu (Lance Hernandez)
Snoy (Elijah Joshua Guerrero),Yume (Danyll Jann Balisi)
Snoy (Elijah Joshua Guerrero),Exo (Eric Gubatan) (Eric Allen Gubatan)
Snoy (Elijah Joshua Guerrero),Tgee (Gerald Gianne Gelacio)
Kaigu (Lance Hernandez),Yume (Danyll Jann Balisi)
Kaigu (Lance Hernandez),Exo (Eric Gubatan) (Eric Allen Gubatan)
Kaigu (Lance Hernandez),Tgee (Gerald Gianne Gelacio)
Yume (Danyll Jann Balisi),Exo (Eric Gubatan) (Eric Allen Gubatan)
Yume (Danyll Jann Balisi),Tgee (Gerald Gianne Gelacio)
Exo (Eric Gubatan) (Eric Allen Gubatan),Tgee (Gerald Gianne Gelacio)
Expession (Koo Bon-taek (구본택)),watch (Cho Jae-geol (조재걸))
Expession (Koo Bon-taek (구본택)),Nagne (Kim Sang-moon (김상문))
Expession (Koo Bon-taek (구본택)),PraY (Kim Jong-in (김종인))
Expession (Koo Bon-taek (구본택)),Cain (Jang Nu-ri (장누리))
watch (Cho Jae-geol (조재걸)),Nagne (Kim Sang-moon (김상문))
watch (Cho Jae-geol (조재걸)),PraY (Kim Jong-in (김종인))
watch (Cho Jae-geol (조재걸)),Cain (Jang Nu-ri (장누리))
Nagne (Kim Sang-moon (김상문)),PraY (Kim Jong-in (김종인))
Nagne (Kim Sang-moon (김상문)),Cain (Jang Nu-ri (장누리))
PraY (Kim Jong-in (김종인)),Cain (Jang Nu-ri (장누리))
Gogoing (Gao Di-Ping (高地平)),LoveLin (Yin Le (尹乐))
Gogoing (Gao Di-Ping (高地平)),Cool (Yu Jia-Jun (余家俊))
Gogoing (Gao Di-Ping (高地平)),San (Guo Jun-Liang) (Guo Jun-Liang (郭俊良))
Gogoing (Gao Di-Ping (高地平)),Bigpomelo (Ou-Yang Wei-Qi (欧阳维奇))
Gogoing (Gao Di-Ping (高地平)),ComA (Fang Hong-Ri) (Fang Hong-Ri (方虹日))
LoveLin (Yin Le (尹乐)),Cool (Yu Jia-Jun (余家俊))
LoveLin (Yin Le (尹乐)),San (Guo Jun-Liang) (Guo Jun-Liang (郭俊良))
LoveLin (Yin Le (尹乐)),Bigpomelo (Ou-Yang Wei-Qi (欧阳维奇))
LoveLin (Yin Le (尹乐)),ComA (Fang Hong-Ri) (Fang Hong-Ri (方虹日))
Cool (Yu Jia-Jun (余家俊)),San (Guo Jun-Liang) (Guo Jun-Liang (郭俊良))
Cool (Yu Jia-Jun (余家俊)),Bigpomelo (Ou-Yang Wei-Qi (欧阳维奇))
Cool (Yu Jia-Jun (余家俊)),ComA (Fang Hong-Ri) (Fang Hong-Ri (方虹日))
San (Guo Jun-Liang) (Guo Jun-Liang (郭俊良)),Bigpomelo (Ou-Yang Wei-Qi (欧阳维奇))
San (Guo Jun-Liang) (Guo Jun-Liang (郭俊良)),ComA (Fang Hong-Ri) (Fang Hong-Ri (方虹日))
GodLike (Xiao Wang (肖旺)),Lucky (Liu Jun-Jie (刘君杰))
GodLike (Xiao Wang (肖旺)),Wh1t3zZ (Lo Pun Wai (盧本偉))
GodLike (Xiao Wang (肖旺)),Uzi (Jian Zi-Hao) (Jian Zi-Hao (简自豪))
GodLike (Xiao Wang (肖旺)),Tabe (Wong Pak Kan (王柏勤))
Lucky (Liu Jun-Jie (刘君杰)),Wh1t3zZ (Lo Pun Wai (盧本偉))
Lucky (Liu Jun-Jie (刘君杰)),Uzi (Jian Zi-Hao) (Jian Zi-Hao (简自豪))
Lucky (Liu Jun-Jie (刘君杰)),Tabe (Wong Pak Kan (王柏勤))
Wh1t3zZ (Lo Pun Wai (盧本偉)),Uzi (Jian Zi-Hao) (Jian Zi-Hao (简自豪))
Wh1t3zZ (Lo Pun Wai (盧本偉)),Tabe (Wong Pak Kan (王柏勤))
Uzi (Jian Zi-Hao) (Jian Zi-Hao (简自豪)),Tabe (Wong Pak Kan (王柏勤))
Looper (Jang Hyeong-seok (장형석)),DanDy (Choi In-kyu (최인규))
Looper (Jang Hyeong-seok (장형석)),dade (Bae Eo-jin (배어진))
Looper (Jang Hyeong-seok (장형석)),imp (Gu Seung-bin (구승빈))
Looper (Jang Hyeong-seok (장형석)),Mata (Cho Se-hyoung (조세형))
DanDy (Choi In-kyu (최인규)),dade (Bae Eo-jin (배어진))
DanDy (Choi In-kyu (최인규)),imp (Gu Seung-bin (구승빈))
DanDy (Choi In-kyu (최인규)),Mata (Cho Se-hyoung (조세형))
dade (Bae Eo-jin (배어진)),imp (Gu Seung-bin (구승빈))
dade (Bae Eo-jin (배어진)),Mata (Cho Se-hyoung (조세형))
imp (Gu Seung-bin (구승빈)),Mata (Cho Se-hyoung (조세형))
Impact (Jeong Eon-young (정언영)),Bengi (Bae Seong-woong (배성웅))
Impact (Jeong Eon-young (정언영)),Faker (Lee Sang-hyeok (이상혁))
Impact (Jeong Eon-young (정언영)),Piglet (Chae Gwang-jin (채광진))
Impact (Jeong Eon-young (정언영)),PoohManDu (Lee Jeong-hyeon (이정현))
Bengi (Bae Seong-woong (배성웅)),Faker (Lee Sang-hyeok (이상혁))
Bengi (Bae Seong-woong (배성웅)),Piglet (Chae Gwang-jin (채광진))
Bengi (Bae Seong-woong (배성웅)),PoohManDu (Lee Jeong-hyeon (이정현))
Faker (Lee Sang-hyeok (이상혁)),Piglet (Chae Gwang-jin (채광진))
Faker (Lee Sang-hyeok (이상혁)),PoohManDu (Lee Jeong-hyeon (이정현))
Piglet (Chae Gwang-jin (채광진)),PoohManDu (Lee Jeong-hyeon (이정현))
Sycho Sid (Benny Hung),Xmithie (Jake Puchero)
Sycho Sid (Benny Hung),mancloud (Zachary Hoschar)
Sycho Sid (Benny Hung),Zuna (Christopher Buechter)
Sycho Sid (Benny Hung),BloodWater (Lyubomir Spasov)
Xmithie (Jake Puchero),Zuna (Christopher Buechter)
Xmithie (Jake Puchero),BloodWater (Lyubomir Spasov)
mancloud (Zachary Hoschar),Zuna (Christopher Buechter)
mancloud (Zachary Hoschar),BloodWater (Lyubomir Spasov)
Zuna (Christopher Buechter),BloodWater (Lyubomir Spasov)
Prydz (Chen Kuang-Feng (陳廣峰)),NAZ (Chen Tien-Chih (陳添志))
Prydz (Chen Kuang-Feng (陳廣峰)),westdoor (Liu Shu-Wei (劉書瑋))
Prydz (Chen Kuang-Feng (陳廣峰)),GarnetDevil (Lai Yi-Meng (賴翊銘))
Prydz (Chen Kuang-Feng (陳廣峰)),GreenTea (Tsai Shang-Ching (蔡尚精))
NAZ (Chen Tien-Chih (陳添志)),westdoor (Liu Shu-Wei (劉書瑋))
NAZ (Chen Tien-Chih (陳添志)),GarnetDevil (Lai Yi-Meng (賴翊銘))
NAZ (Chen Tien-Chih (陳添志)),GreenTea (Tsai Shang-Ching (蔡尚精))
westdoor (Liu Shu-Wei (劉書瑋)),GarnetDevil (Lai Yi-Meng (賴翊銘))
westdoor (Liu Shu-Wei (劉書瑋)),GreenTea (Tsai Shang-Ching (蔡尚精))
GarnetDevil (Lai Yi-Meng (賴翊銘)),GreenTea (Tsai Shang-Ching (蔡尚精))
Wickd (Mike Petersen),Shook (Ilyas Hartsema)
Wickd (Mike Petersen),Froggen (Henrik Hansen)
Wickd (Mike Petersen),Tabzz (Erik van Helvert)
Wickd (Mike Petersen),Nyph (Patrick Funke)
Shook (Ilyas Hartsema),Froggen (Henrik Hansen)
Shook (Ilyas Hartsema),Tabzz (Erik van Helvert)
Shook (Ilyas Hartsema),Nyph (Patrick Funke)
Froggen (Henrik Hansen),Tabzz (Erik van Helvert)
Froggen (Henrik Hansen),Nyph (Patrick Funke)
Tabzz (Erik van Helvert),Nyph (Patrick Funke)
fabFabulous (Asım Cihat Karakaya),Crystal (Atakan Aydın)
fabFabulous (Asım Cihat Karakaya),Naru (Koray Bıçak)
fabFabulous (Asım Cihat Karakaya),HolyPhoenix (Anıl Işık)
fabFabulous (Asım Cihat Karakaya),Touch (Omid Rosander)
Crystal (Atakan Aydın),Naru (Koray Bıçak)
Crystal (Atakan Aydın),HolyPhoenix (Anıl Işık)
Crystal (Atakan Aydın),Touch (Omid Rosander)
Naru (Koray Bıçak),HolyPhoenix (Anıl Işık)
Naru (Koray Bıçak),Touch (Omid Rosander)
HolyPhoenix (Anıl Işık),Touch (Omid Rosander)
Koro1 (Tong Yang (童扬)),Clearlove (Ming Kai (明凯))
Koro1 (Tong Yang (童扬)),U (Zeng Long (曾龙))
Koro1 (Tong Yang (童扬)),NaMei (Zhu Jia-Wen (朱佳文))
Koro1 (Tong Yang (童扬)),Fzzf (Feng Zhuo-Jun (冯卓君))
Clearlove (Ming Kai (明凯)),U (Zeng Long (曾龙))
Clearlove (Ming Kai (明凯)),NaMei (Zhu Jia-Wen (朱佳文))
Clearlove (Ming Kai (明凯)),Fzzf (Feng Zhuo-Jun (冯卓君))
U (Zeng Long (曾龙)),NaMei (Zhu Jia-Wen (朱佳文))
U (Zeng Long (曾龙)),Fzzf (Feng Zhuo-Jun (冯卓君))
NaMei (Zhu Jia-Wen (朱佳文)),Fzzf (Feng Zhuo-Jun (冯卓君))
sOAZ (Paul Boyer),Cyanide (Lauri Happonen)
sOAZ (Paul Boyer),xPeke (Enrique Cedeño Martínez)
sOAZ (Paul Boyer),Rekkles (Martin Larsson)
sOAZ (Paul Boyer),YellOwStaR (Bora Kim)
Cyanide (Lauri Happonen),Rekkles (Martin Larsson)
Cyanide (Lauri Happonen),YellOwStaR (Bora Kim)
xPeke (Enrique Cedeño Martínez),Rekkles (Martin Larsson)
xPeke (Enrique Cedeño Martínez),YellOwStaR (Bora Kim)
Rekkles (Martin Larsson),YellOwStaR (Bora Kim)
LEP (Pedro Luiz Marcari),Danagorn (Daniel Drummond)
LEP (Pedro Luiz Marcari),TinOwns (Thiago Sartori)
LEP (Pedro Luiz Marcari),Minerva (Gustavo Alves)
LEP (Pedro Luiz Marcari),dans (Daniel Dias)
Danagorn (Daniel Drummond),TinOwns (Thiago Sartori)
Danagorn (Daniel Drummond),Minerva (Gustavo Alves)
Danagorn (Daniel Drummond),dans (Daniel Dias)
TinOwns (Thiago Sartori),Minerva (Gustavo Alves)
TinOwns (Thiago Sartori),dans (Daniel Dias)
Minerva (Gustavo Alves),dans (Daniel Dias)
GodLike (Xiao Wang (肖旺)),NoName (Zhou Qi-Lin) (Zhou Qi-Lin (周祺琳))
GodLike (Xiao Wang (肖旺)),XiaoWeiXiao (Yu Xian (余显))
GodLike (Xiao Wang (肖旺)),Vasilii (Li Wei-Jun (李威俊))
GodLike (Xiao Wang (肖旺)),Mor (Zhang Hong-Wei (张洪伟))
NoName (Zhou Qi-Lin) (Zhou Qi-Lin (周祺琳)),XiaoWeiXiao (Yu Xian (余显))
NoName (Zhou Qi-Lin) (Zhou Qi-Lin (周祺琳)),Vasilii (Li Wei-Jun (李威俊))
NoName (Zhou Qi-Lin) (Zhou Qi-Lin (周祺琳)),Mor (Zhang Hong-Wei (张洪伟))
XiaoWeiXiao (Yu Xian (余显)),Vasilii (Li Wei-Jun (李威俊))
XiaoWeiXiao (Yu Xian (余显)),Mor (Zhang Hong-Wei (张洪伟))
Vasilii (Li Wei-Jun (李威俊)),Mor (Zhang Hong-Wei (张洪伟))
Save (Baek Young-jin (백영진)),watch (Cho Jae-geol (조재걸))
Save (Baek Young-jin (백영진)),Ggoong (Yu Byeong-jun (유병준))
Save (Baek Young-jin (백영진)),Zefa (Lee Jae-min (이재민))
Save (Baek Young-jin (백영진)),GorillA (Kang Beom-hyun (강범현))
watch (Cho Jae-geol (조재걸)),Ggoong (Yu Byeong-jun (유병준))
watch (Cho Jae-geol (조재걸)),Zefa (Lee Jae-min (이재민))
watch (Cho Jae-geol (조재걸)),GorillA (Kang Beom-hyun (강범현))
Ggoong (Yu Byeong-jun (유병준)),Zefa (Lee Jae-min (이재민))
Ggoong (Yu Byeong-jun (유병준)),GorillA (Kang Beom-hyun (강범현))
Zefa (Lee Jae-min (이재민)),GorillA (Kang Beom-hyun (강범현))
Gogoing (Gao Di-Ping (高地平)),Cloud (Hu Zhen-Wei (胡振威))
LoveLin (Yin Le (尹乐)),Cloud (Hu Zhen-Wei (胡振威))
Cool (Yu Jia-Jun (余家俊)),Cloud (Hu Zhen-Wei (胡振威))
San (Guo Jun-Liang) (Guo Jun-Liang (郭俊良)),Cloud (Hu Zhen-Wei (胡振威))
Acorn (Choi Cheon-ju (최천주)),Spirit (Lee Da-yoon (이다윤))
Acorn (Choi Cheon-ju (최천주)),dade (Bae Eo-jin (배어진))
Acorn (Choi Cheon-ju (최천주)),Deft (Kim Hyuk-kyu (김혁규))
Acorn (Choi Cheon-ju (최천주)),Heart (Lee Gwan-hyung (이관형))
Spirit (Lee Da-yoon (이다윤)),dade (Bae Eo-jin (배어진))
Spirit (Lee Da-yoon (이다윤)),Deft (Kim Hyuk-kyu (김혁규))
Spirit (Lee Da-yoon (이다윤)),Heart (Lee Gwan-hyung (이관형))
dade (Bae Eo-jin (배어진)),Deft (Kim Hyuk-kyu (김혁규))
dade (Bae Eo-jin (배어진)),Heart (Lee Gwan-hyung (이관형))
Deft (Kim Hyuk-kyu (김혁규)),Heart (Lee Gwan-hyung (이관형))
Looper (Jang Hyeong-seok (장형석)),PawN (Heo Won-seok (허원석))
DanDy (Choi In-kyu (최인규)),PawN (Heo Won-seok (허원석))
PawN (Heo Won-seok (허원석)),imp (Gu Seung-bin (구승빈))
PawN (Heo Won-seok (허원석)),Mata (Cho Se-hyoung (조세형))
fredy122 (Simon Payne),Gilius (Erberk Demir)
fredy122 (Simon Payne),Svenskeren (Dennis Johnsen)
fredy122 (Simon Payne),Jesiz (Jesse Le)
fredy122 (Simon Payne),CandyPanda (Adrian Wübbelmann)
fredy122 (Simon Payne),nRated (Christoph Seitz)
Gilius (Erberk Demir),Jesiz (Jesse Le)
Gilius (Erberk Demir),CandyPanda (Adrian Wübbelmann)
Gilius (Erberk Demir),nRated (Christoph Seitz)
Svenskeren (Dennis Johnsen),Jesiz (Jesse Le)
Svenskeren (Dennis Johnsen),CandyPanda (Adrian Wübbelmann)
Svenskeren (Dennis Johnsen),nRated (Christoph Seitz)
Jesiz (Jesse Le),CandyPanda (Adrian Wübbelmann)
Jesiz (Jesse Le),nRated (Christoph Seitz)
CandyPanda (Adrian Wübbelmann),nRated (Christoph Seitz)
Cola (Jiang Nan (江南)),inSec (Choi In-seok (최인석))
Cola (Jiang Nan (江南)),corn (Lei Wen) (Lei Wen (雷文))
Cola (Jiang Nan (江南)),Uzi (Jian Zi-Hao) (Jian Zi-Hao (简自豪))
Cola (Jiang Nan (江南)),Zero (Yoon Kyung-sup) (Yoon Kyung-sup (윤경섭))
inSec (Choi In-seok (최인석)),corn (Lei Wen) (Lei Wen (雷文))
inSec (Choi In-seok (최인석)),Uzi (Jian Zi-Hao) (Jian Zi-Hao (简自豪))
inSec (Choi In-seok (최인석)),Zero (Yoon Kyung-sup) (Yoon Kyung-sup (윤경섭))
corn (Lei Wen) (Lei Wen (雷文)),Uzi (Jian Zi-Hao) (Jian Zi-Hao (简自豪))
corn (Lei Wen) (Lei Wen (雷文)),Zero (Yoon Kyung-sup) (Yoon Kyung-sup (윤경섭))
Uzi (Jian Zi-Hao) (Jian Zi-Hao (简自豪)),Zero (Yoon Kyung-sup) (Yoon Kyung-sup (윤경섭))
Achie (Chen Chen-Chi (陳振齊)),Winds (Chen Peng-Nien (陳鵬年))
Achie (Chen Chen-Chi (陳振齊)),Morning (Chen Kuan-Ting (陳冠廷))
Achie (Chen Chen-Chi (陳振齊)),BeBe (Chang Bo-Wei) (Chang Bo-Wei (張博為))
Achie (Chen Chen-Chi (陳振齊)),Jay (Li Chieh) (Li Chieh (李杰))
Winds (Chen Peng-Nien (陳鵬年)),Morning (Chen Kuan-Ting (陳冠廷))
Winds (Chen Peng-Nien (陳鵬年)),BeBe (Chang Bo-Wei) (Chang Bo-Wei (張博為))
Winds (Chen Peng-Nien (陳鵬年)),Jay (Li Chieh) (Li Chieh (李杰))
Morning (Chen Kuan-Ting (陳冠廷)),BeBe (Chang Bo-Wei) (Chang Bo-Wei (張博為))
Morning (Chen Kuan-Ting (陳冠廷)),Jay (Li Chieh) (Li Chieh (李杰))
BeBe (Chang Bo-Wei) (Chang Bo-Wei (張博為)),Jay (Li Chieh) (Li Chieh (李杰))
Dyrus (Marcus Hill),Amazing (Maurice Stückenschneider) (Maurice Stückenschneider)
Dyrus (Marcus Hill),Bjergsen (Søren Bjerg)
Dyrus (Marcus Hill),WildTurtle (Jason Tran)
Dyrus (Marcus Hill),Lustboy (Ham Jang-sik (함장식))
Amazing (Maurice Stückenschneider) (Maurice Stückenschneider),Bjergsen (Søren Bjerg)
Amazing (Maurice Stückenschneider) (Maurice Stückenschneider),WildTurtle (Jason Tran)
Amazing (Maurice Stückenschneider) (Maurice Stückenschneider),Lustboy (Ham Jang-sik (함장식))
Bjergsen (Søren Bjerg),WildTurtle (Jason Tran)
Bjergsen (Søren Bjerg),Lustboy (Ham Jang-sik (함장식))
WildTurtle (Jason Tran),Lustboy (Ham Jang-sik (함장식))
Ziv (Chen Yi) (Chen Yi (陳奕)),Mountain (Xue Zhao-Hong) (Xue Zhao-Hong (薛兆鴻))
Ziv (Chen Yi) (Chen Yi (陳奕)),westdoor (Liu Shu-Wei (劉書瑋))
Ziv (Chen Yi) (Chen Yi (陳奕)),AN (Chou Chun-An (周俊諳))
Ziv (Chen Yi) (Chen Yi (陳奕)),Albis (Kang Chia-Wei (康家維))
Ziv (Chen Yi) (Chen Yi (陳奕)),Backstairs (Chen Yan-Fu (陳彥甫))
Mountain (Xue Zhao-Hong) (Xue Zhao-Hong (薛兆鴻)),westdoor (Liu Shu-Wei (劉書瑋))
Mountain (Xue Zhao-Hong) (Xue Zhao-Hong (薛兆鴻)),AN (Chou Chun-An (周俊諳))
Mountain (Xue Zhao-Hong) (Xue Zhao-Hong (薛兆鴻)),Albis (Kang Chia-Wei (康家維))
Mountain (Xue Zhao-Hong) (Xue Zhao-Hong (薛兆鴻)),Backstairs (Chen Yan-Fu (陳彥甫))
westdoor (Liu Shu-Wei (劉書瑋)),AN (Chou Chun-An (周俊諳))
westdoor (Liu Shu-Wei (劉書瑋)),Albis (Kang Chia-Wei (康家維))
westdoor (Liu Shu-Wei (劉書瑋)),Backstairs (Chen Yan-Fu (陳彥甫))
AN (Chou Chun-An (周俊諳)),Albis (Kang Chia-Wei (康家維))
AN (Chou Chun-An (周俊諳)),Backstairs (Chen Yan-Fu (陳彥甫))
Albis (Kang Chia-Wei (康家維)),Backstairs (Chen Yan-Fu (陳彥甫))
WarL0cK (Pawat Ampaporn),007x (Chayut Suebka)
WarL0cK (Pawat Ampaporn),G4 (Nuttapong Menkasikan)
WarL0cK (Pawat Ampaporn),Lloyd (Juckkirsts Kongubon)
WarL0cK (Pawat Ampaporn),Moss (Sorawat Boonphrom)
WarL0cK (Pawat Ampaporn),Cabbage (Akarawat Wangsawat)
007x (Chayut Suebka),G4 (Nuttapong Menkasikan)
