From,To
TopLop (Nicolás Marinoni),Gavotto (Omar Gavotto)
TopLop (Nicolás Marinoni),Crecre (Gabriel Grimaldi)
Gavotto (Omar Gavotto),Crecre (Gabriel Grimaldi)
Gavotto (Omar Gavotto),Dye (Gerson Castaño)
Crecre (Gabriel Grimaldi),Dye (Gerson Castaño)
Acce (Emmanuel Juárez),MarioMe (Mario Reyes)
Josedeodo (Brandon Joel Villegas),MarioMe (Mario Reyes)
MarioMe (Mario Reyes),Shadow (Facundo Cuello) (Facundo Cuello)
MarioMe (Mario Reyes),Skin (Eduardo Saldaña)
Mayhem (Samuel García) (Samuel García),Unforgiven (Maximiliano Utrero) (Maximiliano Utrero)
Mayhem (Samuel García) (Samuel García),Renyu (Renato Gallegos)
Mayhem (Samuel García) (Samuel García),Kz (Nicolás Gutiérrez) (Nicolás Gutiérrez)
Mayhem (Samuel García) (Samuel García),Shu Hari (Diego Placencia)
Mayhem (Samuel García) (Samuel García),Ares (Didier Linarez) (Didier Linarez)
Unforgiven (Maximiliano Utrero) (Maximiliano Utrero),Renyu (Renato Gallegos)
Unforgiven (Maximiliano Utrero) (Maximiliano Utrero),Kz (Nicolás Gutiérrez) (Nicolás Gutiérrez)
Unforgiven (Maximiliano Utrero) (Maximiliano Utrero),Shu Hari (Diego Placencia)
Unforgiven (Maximiliano Utrero) (Maximiliano Utrero),Ares (Didier Linarez) (Didier Linarez)
Renyu (Renato Gallegos),Kz (Nicolás Gutiérrez) (Nicolás Gutiérrez)
Renyu (Renato Gallegos),Shu Hari (Diego Placencia)
Renyu (Renato Gallegos),Ares (Didier Linarez) (Didier Linarez)
Kz (Nicolás Gutiérrez) (Nicolás Gutiérrez),Shu Hari (Diego Placencia)
Kz (Nicolás Gutiérrez) (Nicolás Gutiérrez),Ares (Didier Linarez) (Didier Linarez)
Shu Hari (Diego Placencia),Ares (Didier Linarez) (Didier Linarez)
Jisu (Park Jin-cheol (박진철)),Pancake (Manuel Scala) (Manuel Scala)
Jisu (Park Jin-cheol (박진철)),Plugo (Joaquín Pérez)
Pancake (Manuel Scala) (Manuel Scala),Plugo (Joaquín Pérez)
Pancake (Manuel Scala) (Manuel Scala),Alive (Noh Jin-wook (노진욱))
